arxiv,state,mentioned,sites,values,targets,flag_cite_penoyre,flag_cite_paper_i_id,flag_prov,flag_prov_release,flag_hedge,flag_on_ruwe,flag_on_uwe
2110.04576,measured,1,2,2.0,other,0,0,0,0,1,1,0
2110.06240,measured,0,0,,,0,0,0,0,0,0,0
2110.10182,measured,0,0,,,0,0,0,0,0,0,0
2110.13382,measured,1,0,,,0,0,0,0,0,0,0
2110.13943,measured,1,4,1.4|2.0,lindegren|other,0,0,0,1,0,1,0
2111.01145,measured,1,0,,,0,0,0,0,0,0,0
2111.01860,measured,1,0,,,0,0,0,0,0,0,0
2111.02131,measured,0,0,,,0,0,0,0,0,0,0
2111.03676,measured,1,3,1.0|1.4,lindegren,0,0,1,1,0,1,0
2111.03887,measured,1,1,1.4,fabricius,0,0,0,1,0,1,0
2111.05291,measured,1,1,1.4,other,0,0,0,0,1,1,0
2111.06506,measured,0,0,,,0,0,0,0,0,0,0
2111.06899,measured,0,0,,,0,0,0,0,0,0,0
2111.09324,measured,1,1,1.2,lindegren,0,0,0,1,1,1,0
2111.11196,measured,1,1,1.4,lindegren,0,0,1,0,0,1,0
2111.11725,measured,1,0,,,0,0,0,0,0,0,0
2111.11787,measured,0,0,,,0,0,0,0,0,0,0
2111.13939,measured,1,2,1.6,other,0,0,0,0,0,1,0
2111.13946,measured,1,9,1.6,other,0,0,0,1,0,1,0
2112.00852,measured,1,6,1.4|3.75,none|other,0,0,0,0,0,1,0
2112.01703,measured,1,2,2.8,belokurov|other,0,0,0,1,0,1,0
2112.03959,measured,1,2,1.4|1.9314,penoyre,1,0,0,1,0,1,0
2112.04504,measured,0,0,,,0,0,0,0,0,0,0
2112.04678,measured,0,0,,,0,0,0,0,0,0,0
2112.06683,measured,1,1,4.2,other,0,0,0,0,0,1,0
2112.07023,measured,1,1,1.2,gaia_generic,0,0,0,1,0,0,0
2112.11475,measured,0,0,,,0,0,0,0,0,0,0
2112.11567,measured,0,0,,,0,0,0,0,0,0,0
2112.11943,measured,1,1,2,none,0,0,0,0,0,1,0
2112.12152,measured,1,7,2,none|other,0,0,0,0,0,1,0
2112.15353,measured,1,1,1.4,gaia_generic,0,0,0,1,0,1,0
2201.00733,measured,1,4,1.06|2.0|6.44,none|other,0,0,1,1,1,1,0
2201.03252,measured,0,0,,,0,0,0,0,0,0,0
2201.04134,measured,0,0,,,0,0,0,0,0,0,0
2201.05124,no_source,,,,,,,,,,,
2201.05614,measured,1,0,,,0,0,0,0,0,0,0
2201.08146,measured,0,0,,,0,0,0,0,0,0,0
2201.08285,measured,0,0,,,0,0,0,0,0,0,0
2201.08508,measured,0,0,,,0,0,0,0,0,0,0
2201.09097,measured,1,6,1.4|5.27,lindegren_tn|none|other,0,0,0,0,0,1,0
2201.09438,measured,1,1,1.4,none,0,0,0,1,0,1,0
2201.09963,measured,1,1,1.15,penoyre,1,0,0,1,0,1,0
2201.11376,measured,0,0,,,0,0,0,0,0,0,0
2201.13379,measured,1,3,1|1.4|4.181,other,0,0,0,0,0,1,0
2202.00042,measured,1,6,0.016|1.4,lindegren|other,0,0,0,1,1,1,0
2202.02315,measured,0,0,,,0,0,0,0,0,0,0
2202.04199,measured,1,1,1.4,none,0,0,0,1,0,1,0
2202.06963,measured,1,11,1|1.25,lindegren|none,0,0,0,1,0,1,1
2202.07942,measured,0,0,,,0,0,0,0,0,0,0
2202.08369,measured,1,5,1.4|3,none|other,0,0,0,1,0,1,0
2202.11110,measured,0,0,,,0,0,0,0,0,0,0
2202.11472,measured,0,0,,,0,0,0,0,0,0,0
2203.01953,measured,1,1,1.4,gaia_generic,0,0,0,1,0,1,0
2203.03659,measured,1,16,1|1.4|2,none|other,0,0,1,1,0,1,0
2203.05901,measured,0,0,,,0,0,0,0,0,0,0
2203.07294,measured,1,1,2.4,lindegren,0,0,0,1,0,1,0
2203.07938,measured,1,1,1.4,other,0,0,0,0,0,1,0
2203.08971,measured,0,0,,,0,0,0,0,0,0,0
2203.11234,no_source,,,,,,,,,,,
2203.11250,measured,1,4,1.4|2.0,none|other,0,0,0,0,1,1,0
2203.12795,measured,1,5,1.4|2,none|other,0,0,1,1,0,1,0
2204.09414,measured,1,2,1.4|3,lindegren,0,0,0,1,0,1,0
2204.12140,measured,1,2,1.2|1.4,none|other,0,0,1,1,0,1,0
2204.12551,measured,1,3,1.4,none|other,0,0,0,1,1,1,0
2204.13672,measured,1,0,,,0,0,0,0,0,0,0
2205.00014,measured,0,0,,,0,0,0,0,0,0,0
2205.00040,measured,1,2,1.4,gaia_generic|none,0,0,0,1,0,1,0
2205.03444,measured,1,1,1.4,fabricius,0,0,0,1,0,1,0
2205.04444,measured,0,0,,,0,0,0,0,0,0,0
2205.05690,measured,0,0,,,0,0,0,0,0,0,0
2205.06186,measured,1,1,1.4,none,0,0,0,1,0,1,0
2205.06789,measured,0,0,,,0,0,0,0,0,0,0
2205.08009,measured,0,0,,,0,0,0,0,0,0,0
2205.08548,measured,0,0,,,0,0,0,0,0,0,0
2205.12278,measured,1,2,2,none|other,0,0,0,1,0,1,0
2205.12874,measured,0,0,,,0,0,0,0,0,0,0
2205.13153,measured,0,0,,,0,0,0,0,0,0,0
2205.13715,measured,1,1,1.4,other,0,0,0,0,0,1,0
2206.00025,measured,0,0,,,0,0,0,0,0,0,0
2206.00417,measured,1,2,1.4,none,0,0,0,1,0,1,0
2206.00604,measured,1,5,1.8|2|5.1,none|other,0,0,0,1,0,1,0
2206.03074,measured,0,0,,,0,0,0,0,0,0,0
2206.03511,measured,1,1,1.4,lindegren,0,0,0,0,0,1,0
2206.03777,measured,1,2,1.4|1.55,fabricius|gaia_generic,0,0,0,1,0,1,0
2206.04148,measured,1,1,0.001,none,0,0,0,1,0,1,0
2206.04392,measured,1,45,0|1|1.25|1.7|1.9|2,gaia_generic|lindegren|none|other|penoyre,1,0,1,0,1,1,1
2206.04458,no_source,,,,,,,,,,,
2206.04567,measured,1,7,1.4|3|8.8,none|other,0,0,1,1,0,1,0
2206.05388,measured,0,0,,,0,0,0,0,0,0,0
