arxiv,state,has_bib,A,A_bib,A_body,B14,B_any,C,sites_all,sites14,evidence
2303.17424,measured,1,0,0,0,0,0,0,2,2,
2304.00226,measured,1,0,0,0,0,0,1,1,1,
2304.01671,measured,1,0,0,0,0,0,1,11,7,
2304.02209,measured,1,0,0,0,0,0,0,1,1,
2304.07322,measured,1,0,0,0,0,0,0,10,3,
2304.08370,measured,1,0,0,0,0,0,0,5,5,
2305.09215,measured,1,0,0,0,0,0,0,2,2,
2305.09414,measured,1,0,0,0,0,0,0,1,1,
2305.18147,measured,0,0,0,0,0,0,0,1,1,
2306.03357,measured,1,0,0,0,0,0,1,1,1,
2307.01337,measured,1,0,0,0,0,0,0,4,4,
2307.01688,measured,1,1,1,0,0,0,0,1,1,"bitem[\protect\citeauthoryear{Lindegren}{Lindegren}{2018}]{Lindegren2018} Lindegren L., 2018, {R}e-normalising the astrometric chi-square in {G}aia {D}{R}2, GAIA-C3-TN-LU-LL-124, \url {http://www.rssd.esa.int/doc_fetch.php?id=3757412} \bibitem[\protect\citeauthoryear{{Liu} et~al.,}{{Liu} et~al.}{2020}]{Liu2020_LAMOST_MSR"
2307.13719,measured,1,0,0,0,0,0,1,3,3,
2308.00104,measured,1,0,0,0,0,0,0,11,7,
2308.08584,measured,1,0,0,0,0,0,1,4,4,
2308.12330,measured,1,0,0,0,0,0,0,2,2,
2308.12489,measured,1,0,0,0,0,0,0,1,1,
2308.13039,measured,1,0,0,0,0,0,0,2,2,
2309.10148,measured,1,0,0,0,0,0,0,7,3,
2309.10862,measured,1,0,0,0,0,0,0,3,3,
2310.03654,measured,1,0,0,0,0,0,0,4,4,
2310.05653,measured,1,0,0,0,0,0,1,1,1,
2311.08358,measured,1,0,0,0,0,0,0,1,1,
2311.08489,measured,1,0,0,0,0,0,0,6,1,
2312.02735,measured,1,0,0,0,0,0,0,2,1,
2312.05301,measured,1,0,0,0,0,0,0,1,1,
2312.11124,measured,1,0,0,0,0,0,0,3,1,
