literature,arxiv,invokes,sites,candidate
mcmc,2606.20341v1,0,0,0
mcmc,2606.19044v1,1,1,0
mcmc,2606.18809v1,1,1,0
mcmc,2606.18806v1,1,0,1
mcmc,2606.18567v1,0,0,0
mcmc,2606.17790v1,0,0,0
mcmc,2606.17717v1,0,0,0
mcmc,2606.17343v2,0,0,0
mcmc,2606.17267v1,0,0,0
mcmc,2606.16677v1,0,0,0
mcmc,2606.16224v1,0,0,0
mcmc,2606.15525v1,1,3,0
mcmc,2606.14902v1,1,0,1
mcmc,2606.13305v1,0,0,0
mcmc,2606.13019v2,0,0,0
mcmc,2606.11405v1,0,0,0
mcmc,2606.10772v1,0,0,0
mcmc,2606.10256v1,0,0,0
mcmc,2606.09307v1,0,0,0
mcmc,2606.08660v2,0,0,0
mcmc,2606.08642v2,1,5,0
mcmc,2606.07947v1,1,0,1
mcmc,2606.07677v1,0,0,0
mcmc,2606.06173v1,0,0,0
mcmc,2606.03961v1,0,0,0
mcmc,2606.02410v1,0,0,0
mcmc,2606.02017v1,0,0,0
mcmc,2606.01428v1,0,0,0
mcmc,2605.31511v1,0,0,0
mcmc,2605.31394v1,0,0,0
mcmc,2605.30775v2,1,1,0
mcmc,2605.29193v1,1,0,1
mcmc,2605.28212v1,0,0,0
mcmc,2605.27889v2,1,0,1
mcmc,2605.27720v1,0,0,0
mcmc,2605.27184v1,0,0,0
mcmc,2605.26843v1,0,0,0
mcmc,2605.25043v1,0,0,0
mcmc,2605.23858v1,0,0,0
mcmc,2605.23692v1,0,0,0
mcmc,2605.23048v1,1,0,1
mcmc,2605.20692v1,1,3,0
mcmc,2605.20400v1,1,6,0
mcmc,2605.20143v2,0,0,0
mcmc,2605.17518v1,0,0,0
mcmc,2605.16804v1,0,0,0
mcmc,2605.15291v1,0,0,0
mcmc,2605.14565v2,1,0,1
mcmc,2605.13660v2,0,0,0
mcmc,2605.12901v1,1,0,1
mcmc,2605.09064v1,1,0,1
mcmc,2605.07300v1,0,0,0
mcmc,2605.06742v1,0,0,0
mcmc,2605.06333v1,0,0,0
cv,2608.06205v1,1,0,1
cv,2608.05858v1,1,2,0
cv,2608.04865v1,1,3,0
cv,2608.04833v1,0,0,0
cv,2608.04766v1,1,0,1
cv,2608.04750v1,0,0,0
cv,2608.04394v1,1,0,1
cv,2608.03490v1,1,0,1
cv,2608.03385v1,1,1,0
cv,2608.03370v1,1,1,0
cv,2608.03136v1,1,0,1
cv,2608.03106v1,1,0,1
cv,2608.02495v1,1,2,0
cv,2608.02177v1,0,0,0
cv,2608.02137v1,1,0,1
