arxiv,verdict,fetch_ok,members,bytes,fetch_error,landed_all_zero,landed_mentioned,now_mentioned,diffs
2202.02315,TRUE_ZERO,1,2,537871,,1,0,0,
2202.07942,TRUE_ZERO,1,2,3272049,,1,0,0,
2202.11110,TRUE_ZERO,1,2,9967055,,1,0,0,
2202.11472,TRUE_ZERO,1,2,8684014,,1,0,0,
2203.05901,TRUE_ZERO,1,1,944581,,1,0,0,
2205.00014,TRUE_ZERO,1,2,4262512,,1,0,0,
2205.04444,TRUE_ZERO,1,3,2036528,,1,0,0,
2205.05690,TRUE_ZERO,1,2,1156694,,1,0,0,
2205.06789,TRUE_ZERO,1,11,1716558,,1,0,0,
2205.08009,TRUE_ZERO,1,3,10879275,,1,0,0,
2205.08548,TRUE_ZERO,1,4,6380962,,1,0,0,
2205.13153,TRUE_ZERO,1,2,3117838,,1,0,0,
2206.00025,TRUE_ZERO,1,2,480192,,1,0,0,
2206.03074,TRUE_ZERO,1,2,1211995,,1,0,0,
2206.05388,TRUE_ZERO,1,4,877392,,1,0,0,
2206.05725,TRUE_ZERO,1,2,3135567,,1,0,0,
2206.06339,TRUE_ZERO,1,2,2726954,,1,0,0,
2206.11092,TRUE_ZERO,1,1,121532,,1,0,0,
2206.12824,TRUE_ZERO,1,2,2688429,,1,0,0,
2207.05090,TRUE_ZERO,1,2,18120645,,1,0,0,
2207.06511,TRUE_ZERO,1,2,2783313,,1,0,0,
2208.00211,TRUE_ZERO,1,2,922957,,1,0,0,
2208.01176,TRUE_ZERO,1,2,2514414,,1,0,0,
2208.04979,TRUE_ZERO,1,2,1083646,,1,0,0,
2208.06333,TRUE_ZERO,1,2,15638761,,1,0,0,
2208.06478,TRUE_ZERO,1,5,11680242,,1,0,0,
2208.08212,TRUE_ZERO,1,2,2699038,,1,0,0,
2208.12720,TRUE_ZERO,1,9,5771481,,1,0,0,
2208.14138,TRUE_ZERO,1,2,182962,,1,0,0,
2208.14551,TRUE_ZERO,1,1,1139576,,1,0,0,
2209.02352,TRUE_ZERO,1,2,4206018,,1,0,0,
2209.03279,TRUE_ZERO,1,2,5839280,,1,0,0,
2209.05845,TRUE_ZERO,1,2,1829372,,1,0,0,
2209.06810,TRUE_ZERO,1,2,3000615,,1,0,0,
2209.06873,TRUE_ZERO,1,3,38371638,,1,0,0,
2209.08259,TRUE_ZERO,1,4,10373552,,1,0,0,
2209.14319,TRUE_ZERO,1,2,1736653,,1,0,0,
2210.01937,TRUE_ZERO,1,2,16013865,,1,0,0,
2210.02086,TRUE_ZERO,1,3,207271,,1,0,0,
2210.10816,TRUE_ZERO,1,1,3284160,,1,0,0,
2210.11383,TRUE_ZERO,1,2,8876301,,1,0,0,
2210.11856,TRUE_ZERO,1,3,392232,,1,0,0,
2210.15473,TRUE_ZERO,1,24,7592107,,1,0,0,
2210.16322,TRUE_ZERO,1,1,802141,,1,0,0,
2211.01861,TRUE_ZERO,1,2,2666555,,1,0,0,
2211.06367,TRUE_ZERO,1,2,1150508,,1,0,0,
2211.10803,TRUE_ZERO,1,2,12319567,,1,0,0,
2211.12576,TRUE_ZERO,1,5,3990353,,1,0,0,
2212.03596,TRUE_ZERO,1,4,16019518,,1,0,0,
2212.06161,TRUE_ZERO,1,2,844671,,1,0,0,
2301.00822,TRUE_ZERO,1,2,8198036,,1,0,0,
2301.01370,TRUE_ZERO,1,5,7899907,,1,0,0,
2301.04232,TRUE_ZERO,1,2,38668313,,1,0,0,
2301.10581,TRUE_ZERO,1,2,3812872,,1,0,0,
2301.11061,TRUE_ZERO,1,2,13561834,,1,0,0,
2301.13470,TRUE_ZERO,1,2,3661825,,1,0,0,
2302.03455,TRUE_ZERO,1,1,4391747,,1,0,0,
2302.04138,TRUE_ZERO,1,9,1648072,,1,0,0,
2302.05479,TRUE_ZERO,1,2,8069856,,1,0,0,
