frame,arxiv,doi,year,neg_sites,neg_values,neg_attributed,pos_sites,pos_values,pos_attributed,frac_sites,frac_attributed,frac_indexed,spurfrac_sites,spurfrac_attributed,spurfrac_indexed,spurious_terms,successor_criteria
B,2206.04392,10.1093/mnras/stac2532,2022,0,,0,0,,0,0,0,0,0,0,0,0,excess_noise|gof_al|ipd_gof|ruwe
A,2206.04458,10.1088/1674-4527/ac7545,2022,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2206.04567,10.3847/1538-4357/ac8c25,2022,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
B,2206.05388,10.3847/1538-3881/ac7788,2022,0,,0,0,,0,0,0,0,0,0,0,0,
A,2206.05411,10.3847/1538-4357/ac9906,2022,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
B,2206.05595,10.1051/0004-6361/202243782,2022,0,,0,2,20000|5,0,0,0,0,0,0,0,6,excess_noise|ipd_gof|ruwe|visibility
A,2206.05704,10.3847/1538-4365/ac7f3e,2022,0,,0,0,,0,0,0,0,0,0,0,0,
A,2206.05725,10.1051/0004-6361/202243615,2022,0,,0,0,,0,0,0,0,0,0,0,0,
B,2206.05902,10.1051/0004-6361/202244220,2022,0,,0,0,,0,0,0,0,0,0,0,0,excess_noise|ruwe|sigma5d
A,2206.05989,10.1051/0004-6361/202243790,2022,0,,0,4,10|5,0,0,0,0,0,0,0,3,excess_noise|ruwe
A,2206.06121,10.1051/0004-6361/202243756,2022,0,,0,6,1,0,0,0,0,0,0,0,0,fidelity|ruwe
A,2206.06339,10.1093/mnras/stac3305,2022,0,,0,0,,0,0,0,0,0,0,0,0,
A,2206.08230,10.1051/0004-6361/202243296,2022,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2206.08383,10.3847/1538-3881/ac7b28,2022,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2206.09990,10.1051/0004-6361/202243548,2022,0,,0,0,,0,0,0,0,0,0,0,0,excess_noise|gof_al|ruwe
A,2206.10505,10.3847/1538-4357/ac8159,2022,0,,0,1,2,1,0,0,0,0,0,0,0,ruwe
A,2206.11047,10.1051/0004-6361/202243853,2022,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
B,2206.11092,10.3847/2515-5172/ac7c16,2022,0,,0,0,,0,0,0,0,0,0,0,0,
B,2206.11275,10.3847/1538-4357/adfb68,2022,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2206.12170,10.3847/1538-4365/ac7c17,2022,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2206.12824,10.1093/mnras/stac1769,2022,0,,0,0,,0,0,0,0,0,0,0,0,
B,2206.15318,10.3847/1538-4357/ac7da8,2022,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
B,2207.02925,10.3847/1538-3881/ac78e7,2022,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2207.05090,10.1117/12.2629246,2022,0,,0,0,,0,0,0,0,0,0,0,0,
B,2207.06258,10.3847/2041-8213/ac816a,2022,0,,0,0,,0,0,0,0,0,0,0,0,ipd_gof|ruwe
B,2207.06511,10.3847/1538-3881/ac8153,2022,0,,0,0,,0,0,0,0,0,0,0,0,
B,2207.08452,10.1051/0004-6361/202244511,2022,0,,0,0,,0,0,0,0,0,0,0,0,excess_noise|ipd_gof|ruwe|visibility
B,2207.08742,10.1093/mnras/stac2131,2022,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2207.13368,10.3847/1538-4357/ac8426,2022,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2208.00211,10.1051/0004-6361/202243940,2022,0,,0,0,,0,0,0,0,0,0,0,1,
B,2208.01176,10.1093/mnras/stad1445,2022,0,,0,0,,0,0,0,0,0,0,0,0,
A,2208.02257,10.1093/mnras/stac3116,2022,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2208.04979,10.3847/1538-4357/aca662,2022,0,,0,0,,0,0,0,0,0,0,0,0,
B,2208.05277,10.1093/mnras/stac3101,2022,0,,0,0,,0,0,0,0,0,0,0,1,ruwe
B,2208.05488,10.1093/mnras/stac2945,2022,0,,0,1,5,0,0,0,0,0,0,0,1,fidelity
B,2208.06333,10.3847/1538-3881/ac7cea,2022,0,,0,0,,0,0,0,0,0,0,0,0,
B,2208.06478,10.3847/1538-3881/ac8931,2022,0,,0,0,,0,0,0,0,0,0,0,0,
A,2208.06715,10.3847/1538-3881/ac85e2,2022,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2208.08212,10.1093/mnras/stac2334,2022,0,,0,0,,0,0,0,0,0,0,0,0,
A,2208.09403,10.1051/0004-6361/202244775,2022,0,,0,0,,0,0,0,0,0,0,0,0,excess_noise|ipd_gof|ruwe
A,2208.12112,10.3847/1538-3881/ac8cf7,2022,0,,0,0,,0,0,0,0,0,0,0,0,excess_noise|ipd_gof|ruwe
B,2208.12720,10.3847/1538-4365/ac7e57,2022,0,,0,0,,0,0,0,0,0,0,0,0,
B,2208.14138,10.1088/1674-4527/ac8d7e,2022,0,,0,0,,0,0,0,0,0,0,0,0,
B,2208.14551,10.3847/1538-3881/ac8cee,2022,0,,0,0,,0,0,0,0,0,0,0,0,
A,2209.02352,10.1093/mnras/stac2542,2022,0,,0,0,,0,0,0,0,0,0,0,0,
A,2209.02731,10.1051/0004-6361/202243273,2022,0,,0,0,,0,0,0,0,0,0,0,1,excess_noise|ipd_gof|ruwe
B,2209.03279,10.3847/1538-4357/ac8d58,2022,0,,0,0,,0,0,0,0,0,0,0,0,
